Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P9WI31	response to host immune response [GO:0052572]		extracellular region [GO:0005576]; host cell mitochondrion [GO:0033650]
P9WI55	phosphate-containing compound metabolic process [GO:0006796]	inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	cytosol [GO:0005829]; extracellular region [GO:0005576]; host cell surface [GO:0044228]; plasma membrane [GO:0005886]
P9WI63	negative regulation of fatty acid biosynthetic process [GO:0045717]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	plasma membrane [GO:0005886]
P9WI65	regulation of cell wall organization or biogenesis [GO:1903338]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WI67	regulation of glycolytic process [GO:0006110]	ATP binding [GO:0005524]; cobalt ion binding [GO:0050897]; nickel cation binding [GO:0016151]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	plasma membrane [GO:0005886]
P9WI69	regulation of growth rate [GO:0040009]	ATP binding [GO:0005524]; manganese ion binding [GO:0030145]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WI71	negative regulation of growth [GO:0045926]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cell wall organization or biogenesis [GO:1903338]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WI73	intracellular signal transduction [GO:0035556]; L-glutamate catabolic process [GO:0006538]; L-glutamine catabolic process [GO:0006543]; regulation of cellular respiration [GO:0043457]; response to antibiotic [GO:0046677]; symbiont-mediated evasion of host immune response [GO:0042783]; symbiont-mediated perturbation of host cellular process [GO:0044068]; symbiont-mediated perturbation of host defenses [GO:0030682]; symbiont-mediated perturbation of host phagocytosis [GO:0052067]; symbiont-mediated perturbation of host signal transduction pathway [GO:0052027]; symbiont-mediated suppression of host innate immune response [GO:0052170]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WI75	negative regulation of lipid biosynthetic process [GO:0051055]; regulation of cell growth [GO:0001558]; regulation of D-glucose transmembrane transport [GO:0010827]; septin ring assembly [GO:0000921]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WI77	negative regulation of fatty acid biosynthetic process [GO:0045717]; response to nitrosative stress [GO:0051409]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WI79	cellular response to phosphate starvation [GO:0016036]; negative regulation of fatty acid biosynthetic process [GO:0045717]	ATP binding [GO:0005524]; manganese ion binding [GO:0030145]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WI81	negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of growth rate [GO:0045967]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; regulation of DNA-templated transcription [GO:0006355]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WI83	negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of lipid biosynthetic process [GO:0051055]; peptidyl-threonine autophosphorylation [GO:1990443]; regulation of cell shape [GO:0008360]; regulation of DNA-templated transcription [GO:0006355]; regulation of fatty acid metabolic process [GO:0019217]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WIA1	symbiont-mediated perturbation of host phagocytosis [GO:0052067]; symbiont-mediated suppression of host apoptosis [GO:0033668]; symbiont-mediated suppression of host innate immune response [GO:0052170]; symbiont-mediated suppression of host phagosome acidification [GO:0141159]	protein tyrosine phosphatase activity [GO:0004725]	cytosol [GO:0005829]; extracellular region [GO:0005576]; host cell cytoplasmic vesicle [GO:0044161]; host cell nucleus [GO:0042025]; plasma membrane [GO:0005886]
P9WIB3	symbiont-mediated disruption of host cellular anatomical structure [GO:0052008]	phosphatidylcholine phospholipase C activity [GO:0034480]; phospholipase C activity [GO:0004629]; sphingomyelin phosphodiesterase activity [GO:0004767]	extracellular region [GO:0005576]
P9WIB9	chorismate metabolic process [GO:0046417]; salicylic acid biosynthetic process [GO:0009697]	chorismate mutase activity [GO:0004106]	extracellular region [GO:0005576]
P9WIC1	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process, prephenate pathway [GO:0009095]; chorismate metabolic process [GO:0046417]; salicylic acid biosynthetic process [GO:0009697]	chorismate mutase activity [GO:0004106]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WIC3	L-phenylalanine biosynthetic process [GO:0009094]; L-phenylalanine biosynthetic process from chorismate via phenylpyruvate [GO:0033585]	amino acid binding [GO:0016597]; prephenate dehydratase activity [GO:0004664]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]
P9WIC7	dephosphorylation [GO:0016311]	mannosyl-3-phosphoglycerate phosphatase activity [GO:0050531]; phosphatase activity [GO:0016791]	cytoplasm [GO:0005737]
P9WID3		6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tagatose-6-phosphate kinase activity [GO:0009024]	cytosol [GO:0005829]
P9WID5	AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]	adenosine kinase activity [GO:0004001]; ATP binding [GO:0005524]; dGTP binding [GO:0032567]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]	plasma membrane [GO:0005886]
P9WID7	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; diphosphate-fructose-6-phosphate 1-phosphotransferase activity [GO:0047334]; fructose-6-phosphate binding [GO:0070095]; metal ion binding [GO:0046872]; tagatose-6-phosphate kinase activity [GO:0009024]	6-phosphofructokinase complex [GO:0005945]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WIE3	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; response to nitrosative stress [GO:0051409]	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; thioredoxin peroxidase activity [GO:0008379]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P9WIE5	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]; positive regulation of DNA repair [GO:0045739]; response to antibiotic [GO:0046677]; response to oxidative stress [GO:0006979]	catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; NADH binding [GO:0070404]; NADPH binding [GO:0070402]; oxidoreductase activity, acting on a heme group of donors, nitrogenous group as acceptor [GO:0016677]; peroxidase activity [GO:0004601]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WIF5	adhesion of symbiont to host cell [GO:0044650]; response to oxygen levels [GO:0070482]; response to starvation [GO:0042594]; symbiont-mediated perturbation of host innate immune response [GO:0052167]	host cell surface receptor binding [GO:0046789]	cell outer membrane [GO:0009279]; cell surface [GO:0009986]; peptidoglycan-based cell wall [GO:0009274]
P9WIH3	cellular response to glucose stimulus [GO:0071333]; cellular response to iron ion starvation [GO:0010106]; gluconeogenesis [GO:0006094]; glycerol biosynthetic process from pyruvate [GO:0046327]; oxaloacetate metabolic process [GO:0006107]; propionate catabolic process [GO:0019543]; response to lipid [GO:0033993]; response to starvation [GO:0042594]	GTP binding [GO:0005525]; manganese ion binding [GO:0030145]; phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WIH9	mRNA catabolic process [GO:0006402]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of growth [GO:0045926]; negative regulation of translation [GO:0017148]; positive regulation of growth [GO:0045927]; rRNA catabolic process [GO:0016075]; symbiont-mediated perturbation of host process [GO:0044003]	DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; RNA endonuclease activity [GO:0004521]	
P9WII3	mRNA catabolic process [GO:0006402]; negative regulation of growth [GO:0045926]; positive regulation of growth [GO:0045927]; rRNA catabolic process [GO:0016075]; symbiont-mediated perturbation of host process [GO:0044003]	DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; RNA endonuclease activity [GO:0004521]; RNA nuclease activity [GO:0004540]	extracellular region [GO:0005576]
P9WIK3	cysteine biosynthetic process [GO:0019344]; hydrogen sulfide biosynthetic process [GO:0070814]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]	4 iron, 4 sulfur cluster binding [GO:0051539]; adenylyl-sulfate reductase (thioredoxin) activity [GO:0043866]; metal ion binding [GO:0046872]; phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WIK5	glycolipid biosynthetic process [GO:0009247]; trehalose metabolic process [GO:0005991]	palmitoyltransferase activity [GO:0016409]	membrane [GO:0016020]
P9WIL3	alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]	aspartate 1-decarboxylase activity [GO:0004068]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
P9WIL5	beta-alanine metabolic process [GO:0019482]; pantothenate biosynthetic process [GO:0015940]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; pantoate-beta-alanine ligase activity [GO:0004592]	cytosol [GO:0005829]
P9WIL7	pantothenate biosynthetic process [GO:0015940]	3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WIN5	DIM/DIP cell wall layer assembly [GO:0071770]; lipid biosynthetic process [GO:0008610]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; O-acyltransferase activity [GO:0008374]; transferase activity [GO:0016740]	cytosol [GO:0005829]
P9WIP7	cellular response to oxygen levels [GO:0071453]; DNA protection [GO:0042262]; regulation of DNA-templated transcription [GO:0006355]; response to hydrogen peroxide [GO:0042542]; response to iron ion [GO:0010039]	acyltransferase activity [GO:0016746]; DNA binding [GO:0003677]	cytosol [GO:0005829]; nucleoid [GO:0009295]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WIQ1	Actinobacterium-type cell wall biogenesis [GO:0071766]; capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]	flavin adenine dinucleotide binding [GO:0050660]; UDP-galactopyranose mutase activity [GO:0008767]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WIQ3		ferredoxin-NAD+ reductase activity [GO:0008860]; ferredoxin-NADP+ reductase activity [GO:0004324]; flavin adenine dinucleotide binding [GO:0050660]; NADP+ binding [GO:0070401]; oxidoreductase activity [GO:0016491]	peptidoglycan-based cell wall [GO:0009274]
P9WIR7	cellular response to starvation [GO:0009267]	extracellular matrix binding [GO:0050840]	cell surface [GO:0009986]; extracellular region [GO:0005576]
P9WIS5	2-oxoglutarate metabolic process [GO:0006103]; succinate metabolic process [GO:0006105]; tricarboxylic acid cycle [GO:0006099]	2-hydroxy-3-oxoadipate synthase activity [GO:0050439]; 2-oxoglutarate decarboxylase activity [GO:0008683]; dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]; magnesium ion binding [GO:0000287]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]; thiamine pyrophosphate binding [GO:0030976]	cytosol [GO:0005829]; oxoglutarate dehydrogenase complex [GO:0045252]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]
P9WIS7	cell redox homeostasis [GO:0045454]; cellular detoxification [GO:1990748]; tricarboxylic acid cycle [GO:0006099]	antioxidant activity [GO:0016209]; dihydrolipoyl dehydrogenase (NADH) activity [GO:0004148]; dihydrolipoyllysine-residue acetyltransferase activity [GO:0004742]; dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]; disulfide oxidoreductase activity [GO:0015036]; lipoic acid binding [GO:0031405]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]
P9WIS9		magnesium ion binding [GO:0000287]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; pyruvate dehydrogenase complex [GO:0045254]
P9WIU5	ammonium transmembrane transport [GO:0072488]; monoatomic ion transport [GO:0006811]; response to acidic pH [GO:0010447]; response to host pH environment [GO:0075293]	metal ion binding [GO:0046872]; peptidoglycan binding [GO:0042834]; porin activity [GO:0015288]	cell outer membrane [GO:0009279]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WIU7	lysine biosynthetic process via diaminopimelate [GO:0009089]	diaminopimelate decarboxylase activity [GO:0008836]; pyridoxal phosphate binding [GO:0030170]	peptidoglycan-based cell wall [GO:0009274]
P9WIV9	ATP synthesis coupled electron transport [GO:0042773]; respiratory electron transport chain [GO:0022904]; symbiont-mediated suppression of host apoptosis [GO:0033668]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]	membrane [GO:0016020]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJ03	sulfate assimilation [GO:0000103]	4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; sulfite reductase (ferredoxin) activity [GO:0050311]; sulfite reductase activity [GO:0016002]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
P9WJ61	diterpenoid biosynthetic process [GO:0016102]; tuberculosinol biosynthetic process [GO:0035440]	(13S)-vitexifolin A synthase activity [GO:0062204]; phosphatase activity [GO:0016791]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]	
P9WJ63	rRNA methylation [GO:0031167]; symbiont-mediated cytolysis of host cell [GO:0001897]	RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]; toxin activity [GO:0090729]	cytoplasm [GO:0005737]; host cell plasma membrane [GO:0020002]
P9WJ67		sigma factor antagonist activity [GO:0016989]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]
P9WJ69	response to heat [GO:0009408]; response to oxidative stress [GO:0006979]	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; sigma factor antagonist activity [GO:0016989]	
P9WJ93	cholesterol catabolic process [GO:0006707]; cholesterol metabolic process [GO:0008203]; response to hypoxia [GO:0001666]; response to nitrosative stress [GO:0051409]; steroid biosynthetic process [GO:0006694]	2 iron, 2 sulfur cluster binding [GO:0051537]; 3-ketosteroid 9-alpha-monooxygenase activity [GO:0036200]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; ketosteroid monooxygenase activity [GO:0047086]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	
P9WJA1	biological process involved in interaction with host [GO:0051701]; cholesterol catabolic process [GO:0006707]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; steroid biosynthetic process [GO:0006694]	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase activity [GO:0036383]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WJA3	response to hypoxia [GO:0001666]; symbiont-mediated perturbation of host immune response [GO:0052553]	metal ion binding [GO:0046872]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJA7	negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of growth [GO:0045927]; response to hypoxia [GO:0001666]; symbiont-mediated perturbation of host process [GO:0044003]	DNA binding [GO:0003677]; toxin sequestering activity [GO:0097351]	
P9WJA9	negative regulation of glycolytic process [GO:0045820]; regulation of cellular respiration [GO:0043457]	identical protein binding [GO:0042802]; molecular function inhibitor activity [GO:0140678]; mRNA binding [GO:0003729]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJB7	positive regulation of DNA-templated transcription [GO:0045893]; regulation of protein secretion [GO:0050708]; response to host immune response [GO:0052572]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]	cytosol [GO:0005829]; extracellular region [GO:0005576]; nucleoid [GO:0009295]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJD9	biological process involved in interaction with host [GO:0051701]; protein secretion by the type VII secretion system [GO:0044315]; symbiont-mediated suppression of host autophagy [GO:0140321]	identical protein binding [GO:0042802]	extracellular region [GO:0005576]
P9WJE1	Actinobacterium-type cell wall biogenesis [GO:0071766]; biological process involved in interaction with host [GO:0051701]; protein secretion by the type VII secretion system [GO:0044315]		extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
P9WJF1	arabinan biosynthetic process [GO:0035884]; capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; cell wall polysaccharide biosynthetic process [GO:0070592]; response to antibiotic [GO:0046677]	D-arabinono-1,4-lactone oxidase activity [GO:0003885]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]	periplasmic space [GO:0042597]; plasma membrane [GO:0005886]
P9WJH7	CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; purine nucleotide metabolic process [GO:0006163]; pyrimidine nucleotide metabolic process [GO:0006220]; symbiont-mediated killing of host cell [GO:0001907]; symbiont-mediated perturbation of host Rab small GTPase signal transduction [GO:0141127]; symbiont-mediated suppression of host innate immune response [GO:0052170]; UTP biosynthetic process [GO:0006228]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]; nucleoside diphosphate kinase activity [GO:0004550]; phosphoprotein phosphatase activity [GO:0004721]	cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WJI5	response to antibiotic [GO:0046677]	arylamine N-acetyltransferase activity [GO:0004060]	plasma membrane [GO:0005886]
P9WJJ3	NAD+ biosynthetic process [GO:0009435]	ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; identical protein binding [GO:0042802]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJK3	lipid translocation [GO:0034204]; lipid-linked peptidoglycan transport [GO:0015836]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	lipid-linked peptidoglycan transporter activity [GO:0015648]	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WJM7	biological process involved in interaction with host [GO:0051701]; cellular response to acidic pH [GO:0071468]; cellular response to hydrogen peroxide [GO:0070301]; mycothiol biosynthetic process [GO:0010125]; mycothiol metabolic process [GO:0010126]	mycothiol synthase activity [GO:0035447]; protein-N-terminal-alanine acetyltransferase activity [GO:0008999]	cytosol [GO:0005829]
P9WJN1	mycothiol biosynthetic process [GO:0010125]; mycothiol metabolic process [GO:0010126]; mycothiol-dependent detoxification [GO:0010127]; symbiont-mediated perturbation of host innate immune response [GO:0052167]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WJN3	mycothiol biosynthetic process [GO:0010125]	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; N-acetylglucosaminylinositol deacetylase activity [GO:0035595]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]
P9WJN5	monoatomic ion transport [GO:0006811]; transmembrane transport [GO:0055085]	gated channel activity [GO:0022836]; identical protein binding [GO:0042802]; mechanosensitive monoatomic ion channel activity [GO:0008381]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P9WJQ1	chaperone-mediated protein complex assembly [GO:0051131]; nitrate assimilation [GO:0042128]; response to hypoxia [GO:0001666]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; nitrate reductase activity [GO:0008940]; unfolded protein binding [GO:0051082]	membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; plasma membrane [GO:0005886]
P9WJQ3	cellular response to decreased oxygen levels [GO:0036294]; cellular response to nitrate [GO:0071249]; cellular response to nitric oxide [GO:0071732]; nitrate assimilation [GO:0042128]; nitrate catabolic process [GO:0043602]; nitrate metabolic process [GO:0042126]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; nitrate reductase (quinone) activity [GO:0160182]; nitrate reductase activity [GO:0008940]	extracellular region [GO:0005576]; membrane [GO:0016020]; nitrate reductase complex [GO:0009325]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJU7	cell wall organization [GO:0071555]; lipid biosynthetic process [GO:0008610]; lipid transport [GO:0006869]; xenobiotic transmembrane transport [GO:0006855]	fatty acid transmembrane transporter activity [GO:0015245]	plasma membrane [GO:0005886]
P9WJV5	Actinobacterium-type cell wall biogenesis [GO:0071766]; cell wall organization [GO:0071555]; lipopolysaccharide transport [GO:0015920]; mycolic acid biosynthetic process [GO:0071768]; regulation of membrane potential [GO:0042391]; response to antibiotic [GO:0046677]	cardiolipin binding [GO:1901612]; diacylglycerol binding [GO:0019992]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylglycerol binding [GO:1901611]; phosphatidylinositol binding [GO:0035091]	cell septum [GO:0030428]; cell tip [GO:0051286]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJW3	base-excision repair, AP site formation [GO:0006285]; DNA alkylation repair [GO:0006307]; methylation [GO:0032259]; response to nitrosative stress [GO:0051409]	alkylated DNA binding [GO:0032131]; DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-7-methylguanine glycosylase activity [GO:0043916]; DNA-binding transcription factor activity [GO:0003700]; methyltransferase activity [GO:0008168]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJY3	response to antibiotic [GO:0046677]; symbiont-mediated suppression of host innate immune response [GO:0052170]; transmembrane transport [GO:0055085]	efflux transmembrane transporter activity [GO:0015562]; glycolipid transfer activity [GO:0017089]; isomerase activity [GO:0016853]; lipid binding [GO:0008289]; transmembrane transporter activity [GO:0022857]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WJY7	nitrate assimilation [GO:0042128]; nitrate transmembrane transport [GO:0015706]; regulation of nitrate assimilation [GO:0090352]; response to hypoxia [GO:0001666]	nitrate transmembrane transporter activity [GO:0015112]	plasma membrane [GO:0005886]
P9WK09	response to cadmium ion [GO:0046686]; response to cobalt ion [GO:0032025]; response to copper ion [GO:0046688]; response to nickel cation [GO:0010045]; response to zinc ion [GO:0010043]	copper ion binding [GO:0005507]; zinc ion binding [GO:0008270]	
P9WK17	adhesion of symbiont to host [GO:0044406]; coenzyme A metabolic process [GO:0015936]; glyoxylate catabolic process [GO:0009436]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]	coenzyme A binding [GO:0120225]; fibronectin binding [GO:0001968]; host cell extracellular matrix binding [GO:0046810]; laminin binding [GO:0043236]; magnesium ion binding [GO:0000287]; malate synthase activity [GO:0004474]; protein homodimerization activity [GO:0042803]	capsule [GO:0042603]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK19	protein processing [GO:0016485]	cobalt ion binding [GO:0050897]; initiator methionyl aminopeptidase activity [GO:0004239]; iron ion binding [GO:0005506]; metalloaminopeptidase activity [GO:0070006]	cytosol [GO:0005829]
P9WK21	protein processing [GO:0016485]	initiator methionyl aminopeptidase activity [GO:0004239]; iron ion binding [GO:0005506]; metalloaminopeptidase activity [GO:0070006]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WK45	lipid transport [GO:0006869]; response to antibiotic [GO:0046677]	glycolipid binding [GO:0051861]; phosphatidylinositol binding [GO:0035091]	bacterial extracellular vesicle [GO:0097691]; cell surface [GO:0009986]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK47	lipid transport [GO:0006869]	lipid binding [GO:0008289]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK61	biological process involved in interaction with host [GO:0051701]; defense response to bacterium [GO:0042742]; symbiont-mediated perturbation of host immune response [GO:0052553]	host cell surface receptor binding [GO:0046789]	bacterial extracellular vesicle [GO:0097691]; cell surface [GO:0009986]; host cell cytoplasm [GO:0030430]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK65	DIM/DIP cell wall layer assembly [GO:0071770]	lipid transporter activity [GO:0005319]	cell surface [GO:0009986]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK83	lipoate biosynthetic process [GO:0009107]; protein lipoylation [GO:0009249]	lipoyl(octanoyl) transferase activity [GO:0033819]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
